transaction_id,account_id,transaction_date,scheduled_payment,actual_payment_made,payment_variance,payment_status
TXN-00000062,ACC-0012,2024-02-29,6286.46,6286.46,0.0,Paid
TXN-00000063,ACC-0012,2024-03-31,6286.46,6286.46,0.0,
TXN-00000064,ACC-0012,2024-04-30,6286.46,6286.46,0.0,Paid
TXN-00000065,ACC-0012,2024-05-31,6286.46,6286.46,0.0,Paid
TXN-00000066,ACC-0012,2024-06-30,6286.46,6286.46,0.0,Paid
TXN-00000067,ACC-0012,2024-07-31,6286.46,6286.46,0.0,Paid
TXN-00000068,ACC-0013,2023-10-31,6895.0,6895.0,0.0,Paid
TXN-00000069,ACC-0013,2023-11-30,6895.0,5465.66,-1429.34,Partial
TXN-00000070,ACC-0013,2023-12-31,6895.0,6895.0,0.0,Paid
TXN-00000071,ACC-0013,2024-01-31,6895.0,6895.0,0.0,Paid
TXN-00000072,ACC-0013,2024-02-29,6895.0,6244.74,-650.26,Partial
TXN-00000073,ACC-0013,2024-03-31,6895.0,6895.0,0.0,Paid
TXN-00000074,ACC-0013,2024-04-30,6895.0,6895.0,0.0,Paid
TXN-00000075,ACC-0013,2024-05-31,6895.0,6895.0,0.0,Paid
TXN-00000076,ACC-0013,2024-06-30,6895.0,4936.5,-1958.5,Partial
TXN-00000077,ACC-0015,2024-03-31,12561.11,12561.11,0.0,Paid
TXN-00000078,ACC-0015,2024-04-30,12561.11,12561.11,0.0,Paid
TXN-00000079,ACC-0015,2024-05-31,12561.11,12561.11,0.0,Paid
TXN-00000080,ACC-0015,2024-06-30,12561.11,12561.11,0.0,Paid
TXN-00000081,ACC-0015,2024-07-31,12561.11,12561.11,0.0,Paid
TXN-00000082,ACC-0015,2024-08-31,12561.11,12561.11,0.0,Paid
TXN-00000083,ACC-0015,2024-09-30,12561.11,12561.11,0.0,Paid
TXN-00000084,ACC-0015,2024-10-31,12561.11,12561.11,0.0,Paid
TXN-00000085,ACC-0015,2024-11-30,12561.11,12561.11,0.0,Paid
TXN-00000086,ACC-0016,2023-08-31,5153.12,5153.12,0.0,Paid
TXN-00000087,ACC-0016,2023-09-30,5153.12,5153.12,0.0,Paid
TXN-00000088,ACC-0016,2023-10-31,5153.12,5153.12,0.0,Paid
TXN-00000089,ACC-0016,2023-11-30,5153.12,5153.12,0.0,Paid
TXN-00000090,ACC-0016,2023-12-31,5153.12,5153.12,0.0,Paid
TXN-00000091,ACC-0016,2024-01-31,5153.12,5153.12,0.0,Paid
TXN-00000092,ACC-0016,2024-02-29,5153.12,5153.12,0.0,Paid
TXN-00000093,ACC-0016,2024-03-31,5153.12,5153.12,0.0,Paid
TXN-00000094,ACC-0016,2024-04-30,5153.12,5153.12,0.0,Paid
TXN-00000095,ACC-0016,2024-05-31,5153.12,5153.12,0.0,Paid
TXN-00000096,ACC-0016,2024-06-30,5153.12,5153.12,0.0,Paid
TXN-00000097,ACC-0016,2024-07-31,5153.12,5153.12,0.0,Paid
TXN-00000098,ACC-0017,2023-02-28,5142.12,5142.12,0.0,Paid
TXN-00000099,ACC-0017,2023-03-31,5142.12,5142.12,0.0,Paid
TXN-00000100,ACC-0017,2023-04-30,5142.12,5142.12,0.0,Paid
TXN-00000101,ACC-0017,2023-05-31,5142.12,5142.12,0.0,Paid
TXN-00000102,ACC-0017,2023-06-30,5142.12,5142.12,0.0,Paid
TXN-00000103,ACC-0017,2023-07-31,5142.12,5142.12,0.0,Paid
TXN-00000104,ACC-0017,2023-08-31,5142.12,5142.12,0.0,Paid
TXN-00000105,ACC-0017,2023-09-30,5142.12,5142.12,0.0,Paid
TXN-00000106,ACC-0017,2023-10-31,5142.12,5142.12,0.0,Paid
TXN-00000107,ACC-0017,2023-11-30,5142.12,5142.12,0.0,Paid
TXN-00000108,ACC-0017,2023-12-31,5142.12,5142.12,0.0,Paid
TXN-00000109,ACC-0017,2024-01-31,5142.12,5142.12,0.0,Paid
TXN-00000110,ACC-0018,2023-12-31,5698.88,5698.88,0.0,Paid
TXN-00000111,ACC-0018,2024-01-31,5698.88,5698.88,0.0,Paid
TXN-00000112,ACC-0018,2024-02-29,5698.88,5698.88,0.0,Paid
TXN-00000113,ACC-0018,2024-03-31,5698.88,5698.88,0.0,Paid
TXN-00000114,ACC-0018,2024-04-30,5698.88,5698.88,0.0,Paid
TXN-00000115,ACC-0018,2024-05-31,5698.88,5698.88,0.0,Paid
TXN-00000116,ACC-0018,2024-06-30,5698.88,5698.88,0.0,
TXN-00000117,ACC-0018,2024-07-31,5698.88,5698.88,0.0,Paid
TXN-00000118,ACC-0018,2024-08-31,5698.88,5698.88,0.0,Paid
TXN-00000119,ACC-0018,2024-09-30,5698.88,5698.88,0.0,Paid
TXN-00000120,ACC-0018,2024-10-31,5698.88,5698.88,0.0,Paid
TXN-00000121,ACC-0018,2024-11-30,5698.88,5698.88,0.0,Paid
TXN-00000122,ACC-0020,2023-12-31,3577.5,3577.5,0.0,Paid
TXN-00000123,ACC-0020,2024-01-31,3577.5,3577.5,0.0,Paid
TXN-00000124,ACC-0020,2024-02-29,3577.5,3577.5,0.0,Paid
TXN-00000125,ACC-0020,2024-03-31,3577.5,3577.5,0.0,Paid
TXN-00000126,ACC-0020,2024-04-30,3577.5,3577.5,0.0,Paid
TXN-00000127,ACC-0020,2024-05-31,3577.5,3577.5,0.0,Paid
TXN-00000128,ACC-0020,2024-06-30,3577.5,3577.5,0.0,Paid
TXN-00000129,ACC-0020,2024-07-31,3577.5,3577.5,0.0,Paid
TXN-00000130,ACC-0020,2024-08-31,3577.5,3577.5,0.0,Paid
TXN-00000131,ACC-0021,2024-06-30,12982.67,12982.67,0.0,Paid
TXN-00000132,ACC-0021,2024-07-31,12982.67,12982.67,0.0,Paid
TXN-00000133,ACC-0021,2024-08-31,12982.67,12982.67,0.0,Paid
TXN-00000134,ACC-0021,2024-09-30,12982.67,12982.67,0.0,Paid
TXN-00000135,ACC-0021,2024-10-31,12982.67,12982.67,0.0,Paid
TXN-00000136,ACC-0021,2024-11-30,12982.67,12982.67,0.0,Paid
TXN-00000137,ACC-0021,2024-12-31,12982.67,12982.67,0.0,Paid
TXN-00000138,ACC-0022,2023-08-31,4257.5,4257.5,0.0,
TXN-00000139,ACC-0022,2023-09-30,4257.5,4257.5,0.0,Paid
TXN-00000140,ACC-0022,2023-10-31,4257.5,4257.5,0.0,Paid
TXN-00000141,ACC-0022,2023-11-30,4257.5,4257.5,0.0,Paid
TXN-00000142,ACC-0022,2023-12-31,4257.5,4257.5,0.0,Paid
TXN-00000143,ACC-0022,2024-01-31,4257.5,4257.5,0.0,Paid
TXN-00000144,ACC-0023,2024-08-31,6370.5,6370.5,0.0,Paid
TXN-00000145,ACC-0023,2024-09-30,6370.5,6370.5,0.0,Paid
TXN-00000146,ACC-0023,2024-10-31,6370.5,6370.5,0.0,Paid
TXN-00000147,ACC-0023,2024-11-30,6370.5,6370.5,0.0,Paid
TXN-00000148,ACC-0023,2024-12-31,6370.5,6370.5,0.0,Paid
TXN-00000149,ACC-0024,2024-08-31,16869.89,16869.89,0.0,Paid
TXN-00000150,ACC-0024,2024-09-30,16869.89,16869.89,0.0,Paid
TXN-00000151,ACC-0024,2024-10-31,16869.89,16869.89,0.0,Paid
TXN-00000152,ACC-0024,2024-11-30,16869.89,16869.89,0.0,Paid
TXN-00000153,ACC-0024,2024-12-31,16869.89,16869.89,0.0,Paid
TXN-00000154,ACC-0025,2024-04-30,11160.0,11160.0,0.0,Paid
TXN-00000155,ACC-0025,2024-05-31,11160.0,11160.0,0.0,Paid
TXN-00000156,ACC-0025,2024-06-30,11160.0,11160.0,0.0,Paid
TXN-00000157,ACC-0025,2024-07-31,11160.0,11160.0,0.0,Paid
TXN-00000158,ACC-0025,2024-08-31,11160.0,11160.0,0.0,Paid
TXN-00000159,ACC-0025,2024-09-30,11160.0,11160.0,0.0,Paid
TXN-00000160,ACC-0025,2024-10-31,11160.0,11160.0,0.0,Paid
TXN-00000161,ACC-0025,2024-11-30,11160.0,11160.0,0.0,Paid
TXN-00000162,ACC-0025,2024-12-31,11160.0,11160.0,0.0,Paid
TXN-00000163,ACC-0026,2024-08-31,8086.83,8086.83,0.0,Paid
TXN-00000164,ACC-0026,2024-09-30,8086.83,8086.83,0.0,
TXN-00000165,ACC-0026,2024-10-31,8086.83,8086.83,0.0,Paid
TXN-00000166,ACC-0026,2024-11-30,8086.83,8086.83,0.0,Paid
TXN-00000167,ACC-0026,2024-12-31,8086.83,8086.83,0.0,Paid
TXN-00000168,ACC-0027,2024-03-31,5247.0,5247.0,0.0,Paid
TXN-00000169,ACC-0027,2024-04-30,5247.0,5247.0,0.0,Paid
TXN-00000170,ACC-0027,2024-05-31,5247.0,5247.0,0.0,Paid
TXN-00000171,ACC-0027,2024-06-30,5247.0,5247.0,0.0,Paid
TXN-00000172,ACC-0027,2024-07-31,5247.0,5247.0,0.0,Paid
TXN-00000173,ACC-0027,2024-08-31,5247.0,5247.0,0.0,Paid
TXN-00000174,ACC-0027,2024-09-30,5247.0,5247.0,0.0,Paid
TXN-00000175,ACC-0027,2024-10-31,5247.0,5247.0,0.0,Paid
TXN-00000176,ACC-0027,2024-11-30,5247.0,5247.0,0.0,Paid
TXN-00000177,ACC-0028,2023-11-30,6426.0,6426.0,0.0,Paid
TXN-00000178,ACC-0028,2023-12-31,6426.0,6426.0,0.0,Paid
TXN-00000179,ACC-0028,2024-01-31,6426.0,6426.0,0.0,Paid
TXN-00000180,ACC-0028,2024-02-29,6426.0,6426.0,0.0,Paid
TXN-00000181,ACC-0028,2024-03-31,6426.0,6426.0,0.0,Paid
TXN-00000182,ACC-0028,2024-04-30,6426.0,6426.0,0.0,Paid
TXN-00000183,ACC-0028,2024-05-31,6426.0,,,Paid
TXN-00000184,ACC-0028,2024-06-30,6426.0,6426.0,0.0,Paid
TXN-00000185,ACC-0028,2024-07-31,6426.0,6426.0,0.0,Paid
TXN-00000186,ACC-0028,2024-08-31,6426.0,6426.0,0.0,Paid
TXN-00000187,ACC-0028,2024-09-30,6426.0,6426.0,0.0,Paid
TXN-00000188,ACC-0028,2024-10-31,6426.0,,,Paid
TXN-00000189,ACC-0029,2024-07-31,6693.33,6693.33,0.0,Paid
TXN-00000190,ACC-0029,2024-08-31,6693.33,6693.33,0.0,Paid
TXN-00000191,ACC-0029,2024-09-30,6693.33,6693.33,0.0,Paid
TXN-00000192,ACC-0029,2024-10-31,6693.33,6693.33,0.0,Paid
TXN-00000193,ACC-0029,2024-11-30,6693.33,6693.33,0.0,Paid
TXN-00000194,ACC-0029,2024-12-31,6693.33,6693.33,0.0,Paid
TXN-00000195,ACC-0030,2024-10-31,7496.42,7496.42,0.0,Paid
TXN-00000196,ACC-0030,2024-11-30,7496.42,7496.42,0.0,Paid
TXN-00000197,ACC-0030,2024-12-31,7496.42,7496.42,0.0,Paid
TXN-00000198,ACC-0031,2024-10-31,4794.0,4794.0,0.0,Paid
TXN-00000199,ACC-0031,2024-11-30,4794.0,4794.0,0.0,Paid
TXN-00000200,ACC-0031,2024-12-31,4794.0,4794.0,0.0,Paid
TXN-00000201,ACC-0032,2023-07-31,9621.33,9621.33,0.0,Paid
TXN-00000202,ACC-0032,2023-08-31,9621.33,9621.33,0.0,Paid
TXN-00000203,ACC-0032,2023-09-30,9621.33,9621.33,0.0,Paid
TXN-00000204,ACC-0032,2023-10-31,9621.33,8526.33,-1095.0,Partial
TXN-00000205,ACC-0032,2023-11-30,9621.33,9621.33,0.0,Paid
TXN-00000206,ACC-0032,2023-12-31,9621.33,9621.33,0.0,Paid
TXN-00000207,ACC-0032,2024-01-31,9621.33,9621.33,0.0,Paid
TXN-00000208,ACC-0032,2024-02-29,9621.33,7864.37,-1756.96,Partial
TXN-00000209,ACC-0032,2024-03-31,9621.33,7190.67,-2430.66,Partial
TXN-00000210,ACC-0033,2024-06-30,4956.0,4956.0,0.0,Paid
TXN-00000211,ACC-0033,2024-07-31,4956.0,4956.0,0.0,Paid
TXN-00000212,ACC-0033,2024-08-31,4956.0,4956.0,0.0,Paid
TXN-00000213,ACC-0033,2024-09-30,4956.0,4956.0,0.0,Paid
TXN-00000214,ACC-0033,2024-10-31,4956.0,4956.0,0.0,Paid
TXN-00000215,ACC-0033,2024-11-30,4956.0,4956.0,0.0,Paid
TXN-00000216,ACC-0033,2024-12-31,4956.0,4956.0,0.0,Paid
TXN-00000217,ACC-0034,2023-02-28,4784.61,4784.61,0.0,Paid
TXN-00000218,ACC-0034,2023-03-31,4784.61,4784.61,0.0,Paid
TXN-00000219,ACC-0034,2023-04-30,4784.61,4784.61,0.0,Paid
TXN-00000220,ACC-0034,2023-05-31,4784.61,,,Paid
TXN-00000221,ACC-0034,2023-06-30,4784.61,4784.61,0.0,Paid
TXN-00000222,ACC-0034,2023-07-31,4784.61,4784.61,0.0,Paid
TXN-00000223,ACC-0034,2023-08-31,4784.61,4784.61,0.0,Paid
TXN-00000224,ACC-0034,2023-09-30,4784.61,4784.61,0.0,Paid
TXN-00000225,ACC-0034,2023-10-31,4784.61,4784.61,0.0,Paid
TXN-00000226,ACC-0035,2024-03-31,2693.17,2693.17,0.0,Paid
TXN-00000227,ACC-0035,2024-04-30,2693.17,2693.17,0.0,Paid
TXN-00000228,ACC-0035,2024-05-31,2693.17,2693.17,0.0,Paid
TXN-00000229,ACC-0035,2024-06-30,2693.17,2693.17,0.0,Paid
TXN-00000230,ACC-0035,2024-07-31,2693.17,2693.17,0.0,Paid
TXN-00000231,ACC-0035,2024-08-31,2693.17,2693.17,0.0,Paid
TXN-00000232,ACC-0035,2024-09-30,2693.17,2693.17,0.0,Paid
TXN-00000233,ACC-0035,2024-10-31,2693.17,2693.17,0.0,Paid
TXN-00000234,ACC-0035,2024-11-30,2693.17,,,Paid
TXN-00000235,ACC-0035,2024-12-31,2693.17,2693.17,0.0,Paid
TXN-00000236,ACC-0036,2024-03-31,9149.78,8245.7,-904.08,Partial
TXN-00000237,ACC-0036,2024-04-30,9149.78,7291.18,-1858.6,Partial
TXN-00000238,ACC-0036,2024-05-31,9149.78,7064.38,-2085.4,Partial
TXN-00000239,ACC-0036,2024-06-30,9149.78,9149.78,0.0,Paid
TXN-00000240,ACC-0036,2024-07-31,9149.78,6724.52,-2425.26,Partial
TXN-00000241,ACC-0036,2024-08-31,9149.78,9149.78,0.0,Paid
TXN-00000242,ACC-0036,2024-09-30,9149.78,9149.78,0.0,Paid
TXN-00000243,ACC-0036,2024-10-31,9149.78,8204.89,-944.89,Partial
TXN-00000244,ACC-0036,2024-11-30,9149.78,9149.78,0.0,Paid
TXN-00000245,ACC-0037,2023-10-31,7677.5,7677.5,0.0,Paid
TXN-00000246,ACC-0037,2023-11-30,7677.5,7677.5,0.0,Paid
TXN-00000247,ACC-0037,2023-12-31,7677.5,5433.4,-2244.1,Partial
TXN-00000248,ACC-0037,2024-01-31,7677.5,6212.47,-1465.03,Partial
TXN-00000249,ACC-0037,2024-02-29,7677.5,5786.12,-1891.38,Partial
TXN-00000250,ACC-0037,2024-03-31,7677.5,6158.37,-1519.13,Partial
TXN-00000251,ACC-0037,2024-04-30,7677.5,7677.5,0.0,Paid
TXN-00000252,ACC-0037,2024-05-31,7677.5,5823.27,-1854.23,Partial
TXN-00000253,ACC-0037,2024-06-30,7677.5,5486.15,-2191.35,Partial
TXN-00000254,ACC-0037,2024-07-31,7677.5,7677.5,0.0,Paid
TXN-00000255,ACC-0037,2024-08-31,7677.5,7677.5,0.0,Paid
TXN-00000256,ACC-0037,2024-09-30,7677.5,6644.72,-1032.78,Partial
TXN-00000257,ACC-0039,2024-11-30,9334.42,9334.42,0.0,Paid
TXN-00000258,ACC-0039,2024-12-31,9334.42,9334.42,0.0,Paid
TXN-00000259,ACC-0040,2023-02-28,8145.83,8145.83,0.0,Paid
TXN-00000260,ACC-0040,2023-03-31,8145.83,8145.83,0.0,Paid
TXN-00000261,ACC-0040,2023-04-30,8145.83,8145.83,0.0,Paid
TXN-00000262,ACC-0040,2023-05-31,8145.83,8145.83,0.0,Paid
TXN-00000263,ACC-0040,2023-06-30,8145.83,8145.83,0.0,Paid
TXN-00000264,ACC-0040,2023-07-31,8145.83,8145.83,0.0,Paid
TXN-00000265,ACC-0040,2023-08-31,8145.83,8145.83,0.0,Paid
TXN-00000266,ACC-0040,2023-09-30,8145.83,8145.83,0.0,Paid
TXN-00000267,ACC-0040,2023-10-31,8145.83,8145.83,0.0,Paid
TXN-00000268,ACC-0041,2023-07-31,8012.67,8012.67,0.0,Paid
TXN-00000269,ACC-0041,2023-08-31,8012.67,8012.67,0.0,Paid
TXN-00000270,ACC-0041,2023-09-30,8012.67,8012.67,0.0,Paid
TXN-00000271,ACC-0041,2023-10-31,8012.67,8012.67,0.0,Paid
TXN-00000272,ACC-0041,2023-11-30,8012.67,8012.67,0.0,Paid
TXN-00000273,ACC-0041,2023-12-31,8012.67,8012.67,0.0,Paid
TXN-00000274,ACC-0041,2024-01-31,8012.67,8012.67,0.0,Paid
TXN-00000275,ACC-0041,2024-02-29,8012.67,8012.67,0.0,Paid
TXN-00000276,ACC-0041,2024-03-31,8012.67,8012.67,0.0,Paid
TXN-00000277,ACC-0041,2024-04-30,8012.67,8012.67,0.0,Paid
TXN-00000278,ACC-0041,2024-05-31,8012.67,8012.67,0.0,Paid
TXN-00000279,ACC-0041,2024-06-30,8012.67,8012.67,0.0,Paid
TXN-00000280,ACC-0042,2023-07-31,8428.33,8428.33,0.0,Paid
TXN-00000281,ACC-0042,2023-08-31,8428.33,8428.33,0.0,Paid
TXN-00000282,ACC-0042,2023-09-30,8428.33,8428.33,0.0,Paid
TXN-00000283,ACC-0042,2023-10-31,8428.33,8428.33,0.0,Paid
TXN-00000284,ACC-0042,2023-11-30,8428.33,8428.33,0.0,Paid
TXN-00000285,ACC-0042,2023-12-31,8428.33,8428.33,0.0,Paid
TXN-00000286,ACC-0042,2024-01-31,8428.33,8428.33,0.0,Paid
TXN-00000287,ACC-0042,2024-02-29,8428.33,8428.33,0.0,Paid
TXN-00000288,ACC-0042,2024-03-31,8428.33,8428.33,0.0,Paid
TXN-00000289,ACC-0043,2024-11-30,7081.67,7081.67,0.0,Paid
TXN-00000290,ACC-0043,2024-12-31,7081.67,7081.67,0.0,Paid
TXN-00000291,ACC-0044,2024-02-29,4861.92,4861.92,0.0,Paid
TXN-00000292,ACC-0044,2024-03-31,4861.92,4861.92,0.0,Paid
TXN-00000293,ACC-0044,2024-04-30,4861.92,4861.92,0.0,Paid
TXN-00000294,ACC-0044,2024-05-31,4861.92,4861.92,0.0,Paid
TXN-00000295,ACC-0044,2024-06-30,4861.92,4861.92,0.0,Paid
TXN-00000296,ACC-0044,2024-07-31,4861.92,4861.92,0.0,
TXN-00000297,ACC-0044,2024-08-31,4861.92,4861.92,0.0,Paid
TXN-00000298,ACC-0044,2024-09-30,4861.92,4861.92,0.0,Paid
TXN-00000299,ACC-0044,2024-10-31,4861.92,4861.92,0.0,Paid
TXN-00000300,ACC-0044,2024-11-30,4861.92,4861.92,0.0,Paid
TXN-00000301,ACC-0044,2024-12-31,4861.92,4861.92,0.0,Paid
TXN-00000302,ACC-0045,2024-07-31,29284.67,29284.67,0.0,Paid
TXN-00000303,ACC-0045,2024-08-31,29284.67,29284.67,0.0,Paid
TXN-00000304,ACC-0045,2024-09-30,29284.67,29284.67,0.0,Paid
TXN-00000305,ACC-0045,2024-10-31,29284.67,29284.67,0.0,Paid
TXN-00000306,ACC-0045,2024-11-30,29284.67,29284.67,0.0,Paid
TXN-00000307,ACC-0045,2024-12-31,29284.67,29284.67,0.0,Paid
TXN-00000308,ACC-0046,2024-09-30,9703.67,8767.32,-936.35,Partial
TXN-00000309,ACC-0046,2024-10-31,9703.67,9703.67,0.0,Paid
TXN-00000310,ACC-0046,2024-11-30,9703.67,9703.67,0.0,Paid
TXN-00000311,ACC-0046,2024-12-31,9703.67,7011.02,-2692.65,Partial
TXN-00000312,ACC-0047,2024-08-31,5159.56,5159.56,0.0,Paid
TXN-00000313,ACC-0047,2024-09-30,5159.56,5159.56,0.0,Paid
TXN-00000314,ACC-0047,2024-10-31,5159.56,5159.56,0.0,Paid
TXN-00000315,ACC-0047,2024-11-30,5159.56,5159.56,0.0,Paid
TXN-00000316,ACC-0047,2024-12-31,5159.56,5159.56,0.0,Paid
TXN-00000317,ACC-0048,2023-04-30,14886.67,14886.67,0.0,Paid
TXN-00000318,ACC-0048,2023-05-31,14886.67,14886.67,0.0,Paid
TXN-00000319,ACC-0048,2023-06-30,14886.67,14886.67,0.0,Paid
TXN-00000320,ACC-0048,2023-07-31,14886.67,14886.67,0.0,Paid
TXN-00000321,ACC-0048,2023-08-31,14886.67,14886.67,0.0,Paid
TXN-00000322,ACC-0048,2023-09-30,14886.67,14886.67,0.0,Paid
TXN-00000323,ACC-0049,2023-05-31,8491.0,8491.0,0.0,Paid
TXN-00000324,ACC-0049,2023-06-30,8491.0,8491.0,0.0,Paid
TXN-00000325,ACC-0049,2023-07-31,8491.0,8491.0,0.0,Paid
TXN-00000326,ACC-0049,2023-08-31,8491.0,8491.0,0.0,Paid
TXN-00000327,ACC-0049,2023-09-30,8491.0,8491.0,0.0,Paid
TXN-00000328,ACC-0049,2023-10-31,8491.0,8491.0,0.0,Paid
TXN-00000329,ACC-0049,2023-11-30,8491.0,8491.0,0.0,Paid
TXN-00000330,ACC-0049,2023-12-31,8491.0,8491.0,0.0,Paid
TXN-00000331,ACC-0049,2024-01-31,8491.0,8491.0,0.0,Paid
TXN-00000332,ACC-0050,2023-11-30,2526.62,2526.62,0.0,Paid
TXN-00000333,ACC-0050,2023-12-31,2526.62,2376.22,-150.4,Partial
TXN-00000334,ACC-0050,2024-01-31,2526.62,2342.54,-184.08,Partial
TXN-00000335,ACC-0050,2024-02-29,2526.62,2210.61,-316.01,Partial
TXN-00000336,ACC-0050,2024-03-31,2526.62,1936.57,-590.05,Partial
TXN-00000337,ACC-0050,2024-04-30,2526.62,2526.62,0.0,Paid
TXN-00000338,ACC-0050,2024-05-31,2526.62,2260.54,-266.08,Partial
TXN-00000339,ACC-0050,2024-06-30,2526.62,2221.46,-305.16,Partial
TXN-00000340,ACC-0050,2024-07-31,2526.62,2052.48,-474.14,Partial
TXN-00000341,ACC-0050,2024-08-31,2526.62,2526.62,0.0,Paid
TXN-00000342,ACC-0050,2024-09-30,2526.62,1829.52,-697.1,Partial
TXN-00000343,ACC-0050,2024-10-31,2526.62,2338.77,-187.85,Partial
TXN-00000344,ACC-0051,2023-10-31,7162.67,7162.67,0.0,Paid
TXN-00000345,ACC-0051,2023-11-30,7162.67,7162.67,0.0,Paid
TXN-00000346,ACC-0051,2023-12-31,7162.67,7162.67,0.0,
TXN-00000347,ACC-0051,2024-01-31,7162.67,7162.67,0.0,Paid
TXN-00000348,ACC-0051,2024-02-29,7162.67,7162.67,0.0,Paid
